,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW_br,NW_ar,opt_C,opt_I,E1,E2,E3,E4,capex_h,produc_h,Fixed_Costs_h,Semi_Fixed_h,Gross_Fluid_h,Water_Injected_h,Producer_Well_h,WI_Well_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
10,10,50,1,0.5700000000000001,1,1,1,1,0,1,1,0,0,0,0,1.1,1,1,1,1,1,1,1,198897.1856,163973.1695,331884.8774,87135.176,419020.0534,0.5199879233292676,423824.9041,7116184.7947,7621132.225,38.43673296751828,52.850379834283345,14.413646866765063,33.52025273275515,52.850379834283345,19.330127101528202,2033.0,2033.0,19.3818,19.3818,3.4293,3.4293,676064.0546,170661.5216,139734.1404,1436628.7542,87298.6824,676064.0546,170661.5216,164673.037,1517717.3491,87298.6824
11,11,50,1,0.5700000000000001,1,1,1,1,1,1,1,0,0,0,0,1.1,1,1,1,1,1,1,1,198897.1856,148341.5664,331884.8774,71503.5729,403388.4504,0.22047380928628155,761638.1911,7116184.7947,8304394.1941,38.43673296751828,59.43122453616801,20.994491568649725,33.52025273275515,59.43122453616801,25.910971803412867,2034.0,2034.0,19.4113,19.4113,5.4799,5.4799,727106.1965,272743.0538,126756.2527,1557490.0108,83645.7556,727106.1965,272743.0538,151695.1493,1638578.6057,83645.7556
12,12,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,0,0,0,1.1,1,1,1,1,1,1,1,198897.1856,292268.2258,331884.8774,215423.249,547308.1264,0.5788400479456269,1193503.0669,7116184.7947,8827695.1784,38.43673296751828,86.30656054506181,47.86982757754353,33.52025273275515,86.30656054506181,52.786307812306674,2040.0,2040.0,18.7145,18.7145,5.9063,5.9063,846895.9957,431189.8057,172296.9216,1990542.1473,48994.0129,846895.9957,431189.8057,197232.8254,2071620.7661,48994.0129
13,13,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,1,0,0,1.1,1,1,1,1,1,1,1,198897.1856,282811.5125,331884.8774,205966.5357,537851.4131,0.40252582712349305,1659854.1094,7116184.7947,9566874.2927,38.43673296751828,98.82759782967499,60.3908648621567,33.52025273275515,98.82759782967499,65.30734509691983,2042.0,2042.0,18.6929,18.6929,7.1671,7.1671,907063.468,580486.5562,165824.6045,2178081.1385,42997.8118,907063.468,580486.5562,190760.5082,2259159.7573,42997.8118
14,14,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,1,1,0,1.1,1,1,1,1,1,1,1,198897.1856,176081.3065,331884.8774,99236.3298,431121.2072,0.15420309958199532,2937672.5854,7116184.7947,11605475.9158,38.43673296751828,127.62613134557353,89.18939837805523,33.52025273275515,127.62613134557353,94.10587861281837,2046.0,2046.0,19.0361,19.0361,9.8161,9.8161,1026045.1613,881348.0633,174800.394,2491600.1622,34428.0515,1026045.1613,881348.0633,199736.2978,2572678.781,34428.0515
15,15,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,1,1,1,1.1,1,1,1,1,1,1,1,198897.1856,74941.7024,331884.8774,-1903.2744,329981.6031,0.054594534209576565,3773098.5886,7116184.7947,12821976.3894,38.43673296751828,143.93888070650013,105.50214773898183,33.52025273275515,143.93888070650013,110.41862797374496,2049.0,2049.0,19.8535,19.8535,11.1882,11.1882,1082628.0575,1013655.6913,195373.4819,2593855.4399,28359.3212,1082628.0575,1013655.6913,220309.3856,2674934.0587,28359.3212
16,16,50,1,0.5700000000000001,1,0,1,0,0,1,1,0,0,0,0,1,0.9,1,1,1,1,1,1,198897.1856,64081.6254,331884.8774,-14643.0256,317241.8519,0.0,144552.5415,7116184.7947,7188037.0897,38.43673296751828,39.982939111655796,1.5462061441375117,33.52025273275515,39.982939111655796,6.462686378900653,2031.0,2031.0,21.0686,21.0686,1.5487,1.5487,597630.1755,59723.9633,119604.7896,1140655.2841,100717.5448,597630.1755,59723.9633,143724.3059,1219037.8413,100717.5448
17,17,50,1,0.5700000000000001,1,0,1,1,1,1,1,0,0,0,0,1,0.9,1,1,1,1,1,1,198897.1856,99809.636,331884.8774,22347.1598,354232.0372,0.05545853109787607,290519.3715,7116184.7947,7520101.835,38.43673296751828,45.92388308995969,7.4871501224414025,33.52025273275515,45.92388308995969,12.403630357204543,2032.0,2032.0,20.5512,20.5512,2.7079,2.7079,645060.2355,120002.8948,122706.6916,1280935.5941,94458.9506,645060.2355,120002.8948,147374.0644,1361128.1825,94458.9506
18,18,50,1,0.5700000000000001,1,1,1,1,0,1,1,0,0,0,0,1,0.9,1,1,1,1,1,1,198897.1856,141663.8224,331884.8774,64430.4432,396315.3207,0.3794620240136309,385295.3674,7116184.7947,7599327.9521,38.43673296751828,49.62666575128917,11.189932783770884,33.52025273275515,49.62666575128917,16.106413018534024,2032.0,2032.0,19.1868,19.1868,3.3206,3.3206,650359.2663,155146.8378,132741.8687,1374431.4274,95622.4465,650359.2663,155146.8378,157507.9855,1454951.8568,95622.4465
19,19,50,1,0.5700000000000001,1,1,1,1,1,1,1,0,0,0,0,1,0.9,1,1,1,1,1,1,198897.1856,126679.7324,331884.8774,49446.3532,381331.2306,0.12431090978433147,692398.3556,7116184.7947,8271766.805,38.43673296751828,55.57825989574349,17.141526928225204,33.52025273275515,55.57825989574349,22.058007162988346,2033.0,2033.0,19.3517,19.3517,5.3284,5.3284,701327.5782,247948.2308,119676.2056,1485741.7465,91212.8139,701327.5782,247948.2308,144442.3224,1566262.1758,91212.8139
20,20,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,0,0,0,1,0.9,1,1,1,1,1,1,198897.1856,256955.1624,331884.8774,179715.6157,511600.4931,0.5133537927231954,1085002.7881,7116184.7947,8783767.3174,38.43673296751828,80.54401308700336,42.107280119485075,33.52025273275515,80.54401308700336,47.02376035424822,2039.0,2039.0,19.1415,19.1415,5.7579,5.7579,830921.162,391990.7325,159817.0114,1891846.6739,53265.42,830921.162,391990.7325,184580.485,1972358.2926,53265.42
21,21,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,1,0,0,1,0.9,1,1,1,1,1,1,198897.1856,244381.2809,331884.8774,167141.7342,499026.6116,0.3376910502247248,1508958.2813,7116184.7947,9517389.0093,38.43673296751828,90.31307721825183,51.87634425073356,33.52025273275515,90.31307721825183,56.792824485496695,2040.0,2040.0,18.8549,18.8549,7.1325,7.1325,881594.7056,527715.0511,149365.4589,2053134.3725,51180.6904,881594.7056,527715.0511,174128.9325,2133645.9912,51180.6904
22,22,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,1,1,0,1,0.9,1,1,1,1,1,1,198897.1856,137019.231,331884.8774,59779.6843,391664.5617,0.10128973091948922,2670611.4413,7116184.7947,11545272.9047,38.43673296751828,116.02753387954888,77.59080091203059,33.52025273275515,116.02753387954888,82.50728114679374,2044.0,2044.0,19.4942,19.4942,9.8258,9.8258,1003930.8555,801225.5121,159678.8422,2341274.6907,40523.0643,1003930.8555,801225.5121,184442.3158,2421786.3094,40523.0643
23,23,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,198897.1856,42234.7752,331884.8774,-35004.7715,296880.1059,0.005050121730243306,3430089.626,7116184.7947,12755614.2381,38.43673296751828,130.5464727499477,92.1097397824294,33.52025273275515,130.5464727499477,97.02622001719254,2047.0,2047.0,20.4776,20.4776,11.228,11.228,1062898.2673,921505.1739,177961.0445,2436684.3428,33187.8962,1062898.2673,921505.1739,202724.518,2517195.9614,33187.8962
24,24,50,1,0.5700000000000001,1,0,1,0,0,1,1,0,0,0,0,1,1.1,1,1,1,1,1,1,198897.1856,83955.6839,331884.8774,5693.2103,337578.0877,0.0,144552.5415,7116184.7947,7204004.2663,38.43673296751828,41.07105506032939,2.6343220928111113,33.52025273275515,41.07105506032939,7.550802327574252,2031.0,2031.0,20.5781,20.5781,1.5073,1.5073,599576.5639,59723.9633,127737.8826,1170608.824,100717.5448,599576.5639,59723.9633,152060.4736,1249656.6332,100717.5448
25,25,50,1,0.5700000000000001,1,0,1,1,1,1,1,0,0,0,0,1,1.1,1,1,1,1,1,1,198897.1856,137461.8041,331884.8774,60739.5005,392624.3779,0.5032473824703978,290519.3715,7116184.7947,7546104.5769,38.43673296751828,48.014590664546304,9.57785769702802,33.52025273275515,48.014590664546304,14.49433793179116,2032.0,2032.0,19.7653,19.7653,2.5883,2.5883,648656.3587,120002.8948,137726.6069,1337203.8007,94458.9506,648656.3587,120002.8948,162717.7292,1418460.3113,94458.9506
26,26,50,1,0.5700000000000001,1,1,1,1,0,1,1,0,0,0,0,1,1.1,1,1,1,1,1,1,198897.1856,199690.5401,331884.8774,123247.5378,455132.4152,0.9133541270423049,385295.3674,7116184.7947,7642936.4978,38.43673296751828,54.35390029236775,15.917167324849462,33.52025273275515,54.35390029236775,20.833647559612604,2033.0,2033.0,18.9157,18.9157,3.0299,3.0299,678578.9218,155146.8378,156411.1429,1475654.125,86929.4968,678578.9218,155146.8378,181522.6491,1557310.3207,86929.4968
27,27,50,1,0.5700000000000001,1,1,1,1,1,1,1,0,0,0,0,1,1.1,1,1,1,1,1,1,198897.1856,200005.5659,331884.8774,123562.5635,455447.4409,0.5335778336352522,692398.3556,7116184.7947,8337021.5833,38.43673296751828,61.47563981495828,23.03890684743999,33.52025273275515,61.47563981495828,27.95538708220313,2034.0,2034.0,18.86,18.86,4.8131,4.8131,730603.6041,247948.2308,146691.521,1607066.8473,82920.7399,730603.6041,247948.2308,171803.0273,1688723.0429,82920.7399
28,28,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,0,0,0,1,1.1,1,1,1,1,1,1,198897.1856,380313.3495,331884.8774,303862.5219,635747.3993,0.9630930435207348,1085002.7881,7116184.7947,8871623.0394,38.43673296751828,92.14168565985145,53.70495269233316,33.52025273275515,92.14168565985145,58.6214329270963,2041.0,2041.0,18.3155,18.3155,5.0264,5.0264,861675.8397,391990.7325,211619.1648,2088517.2803,44021.0083,861675.8397,391990.7325,236727.3174,2170162.2971,44021.0083
