,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_C,opt_I,capex_h,produc_h,Fixed_Costs_h,Semi_Fixed_h,Gross_Fluid_h,Water_Injected_h,Producer_Well_h,WI_Well_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
10,10,50,1,0.5700000000000001,1,1,0,1,1,1,1.1,1,1,1,1,1,1,1,426952.545,20674.004,486527.0957,80685.6137,567212.7094,0.48053812364652765,498376.8001,8674551.3609,9592830.8998,62.498910891403604,77.33326232873975,14.834351437336139,57.01655028689454,70.54964282621873,13.533092539324185,2039.0,2039.0,21.4023,21.4023,3.0297,2.764,797549.7204,168388.3569,174929.2378,1631781.7538,43287.8898,874237.1935,168388.3569,226797.4018,1879923.5514,43287.8898
11,11,50,1,0.5700000000000001,1,1,1,1,1,1,1.1,1,1,1,1,1,1,1,426952.545,132739.6256,486527.0957,212563.5531,699090.6488,0.9494243426256931,761638.1911,8674551.3609,9760695.8021,62.498910891403604,91.78685893453732,29.287948043133714,57.01655028689454,83.73538008063052,26.71882979373598,2040.0,2040.0,19.3803,19.3803,3.8895,3.5483,831160.9126,272743.0538,212807.5053,1915756.2693,39352.6271,911080.2311,272743.0538,272951.4524,2195218.0132,39352.6271
12,12,50,1,0.5700000000000001,1,0,1,0,1,1,1,0.9,1,1,1,1,1,1,426952.545,59813.2548,486527.0957,116788.5527,603315.6484,2.339126788758756,144552.5415,8674551.3609,8644338.6977,62.498910891403604,70.63119742031981,8.1322865289162,57.01655028689454,64.43547834836193,7.418928061467384,2039.0,2039.0,21.3633,21.3633,0.9624,0.878,741176.8884,59723.9633,198410.4525,1524413.0383,38335.9344,812443.8969,59723.9633,249479.6176,1763299.0606,38335.9344
13,13,50,1,0.5700000000000001,1,0,0,1,1,1,1,0.9,1,1,1,1,1,1,426952.545,29209.4444,486527.0957,82848.2225,569375.3181,1.5366004866220848,145966.8301,8674551.3609,8904551.1481,62.498910891403604,68.11520067565039,5.61628978424678,57.01655028689454,62.14018307252314,5.123632785628601,2038.0,2038.0,21.6509,21.6509,1.0077,0.9193,745453.5625,60278.9315,186712.8988,1492412.4994,43805.1172,817131.7897,60278.9315,236342.6802,1726933.8368,43805.1172
14,14,50,1,0.5700000000000001,1,0,1,1,1,1,1,0.9,1,1,1,1,1,1,426952.545,88069.7392,486527.0957,152974.2529,639501.3486,1.5481783962718092,290519.3715,8674551.3609,8976403.4431,62.498910891403604,76.28866580199869,13.78975491059509,57.01655028689454,69.59667757375318,12.580127286858646,2039.0,2039.0,20.5872,20.5872,1.7886,1.6317,769629.8298,120002.8948,204979.4753,1649457.3179,39822.8339,843632.698,120002.8948,259377.9612,1902337.7364,39822.8339
15,15,50,1,0.5700000000000001,1,1,1,0,1,1,1,0.9,1,1,1,1,1,1,426952.545,106582.89,486527.0957,170192.6408,656719.7365,2.233684775677725,239328.5373,8674551.3609,8723564.8148,62.498910891403604,77.28378649884249,14.784875607438881,57.01655028689454,70.50450698140016,13.487956694505622,2040.0,2040.0,20.6368,20.6368,1.4554,1.3277,759287.1712,94867.9063,214406.0163,1636947.3783,34850.8495,832295.553,94867.9063,268278.7285,1887012.7738,34850.8495
16,16,50,1,0.5700000000000001,1,1,0,1,1,1,1,0.9,1,1,1,1,1,1,426952.545,12468.1706,486527.0957,70781.8695,557308.9652,0.4369249598109764,453069.8182,8674551.3609,9576990.0009,62.498910891403604,74.05034267935277,11.551431787949157,57.01655028689454,67.5546985846727,10.538148297778163,2038.0,2038.0,21.2196,21.2196,2.8762,2.6239,781765.2357,153080.3244,171540.4406,1592928.1995,47121.4832,856934.9699,153080.3244,222668.7653,1837114.5081,47121.4832
17,17,50,1,0.5700000000000001,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,426952.545,113973.7525,486527.0957,190086.8975,676613.9932,0.9163718565920308,692398.3556,8674551.3609,9728068.413,62.498910891403604,87.21176435252129,24.71285346111769,57.01655028689454,79.56160958475625,22.545059297861712,2039.0,2039.0,19.3709,19.3709,3.7225,3.396,814266.4851,247948.2308,205054.7236,1851033.449,42837.712,892561.3395,247948.2308,263691.8336,2123653.109,42837.712
18,18,50,1,0.5700000000000001,1,0,1,0,1,1,1,1.1,1,1,1,1,1,1,426952.545,80615.3164,486527.0957,140090.2185,626617.3142,2.894512843123878,144552.5415,8674551.3609,8660305.8744,62.498910891403604,72.05170001174193,9.55278912033832,57.01655028689454,65.73137544930842,8.714825162413872,2039.0,2039.0,21.0171,21.0171,0.9431,0.8604,743775.3225,59723.9633,207207.623,1556610.7046,38335.9344,815292.1804,59723.9633,259347.8285,1799317.2208,38335.9344
19,19,50,1,0.5700000000000001,1,0,0,1,1,1,1,1.1,1,1,1,1,1,1,426952.545,50503.932,486527.0957,106185.0475,592712.1432,2.0811572411072397,145966.8301,8674551.3609,8914586.7133,62.498910891403604,71.16695735167397,8.668046460270372,57.01655028689454,64.92424179450961,7.907691507615069,2039.0,2039.0,21.7836,21.7836,0.9645,0.8799,759820.9744,60278.9315,195313.1333,1532692.35,39822.8339,832880.6834,60278.9315,245831.1918,1771525.7838,39822.8339
